lat,lng,api_data
32.5542,51.525,Radius=15000&SortBy=1&latitude=32.5542&longitude=51.525&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.6267,51.4392,Radius=15000&SortBy=1&latitude=32.6267&longitude=51.4392&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
33.2206,50.315,Radius=15000&SortBy=1&latitude=33.2206&longitude=50.315&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.2083,48.7239,Radius=15000&SortBy=1&latitude=35.2083&longitude=48.7239&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.0,54.2044,Radius=15000&SortBy=1&latitude=32.0&longitude=54.2044&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
29.5,53.3164,Radius=15000&SortBy=1&latitude=29.5&longitude=53.3164&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
31.7475,54.2042,Radius=15000&SortBy=1&latitude=31.7475&longitude=54.2042&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.0144,58.78,Radius=15000&SortBy=1&latitude=35.0144&longitude=58.78&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
31.94,51.6478,Radius=15000&SortBy=1&latitude=31.94&longitude=51.6478&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.7025,51.1536,Radius=15000&SortBy=1&latitude=32.7025&longitude=51.1536&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.0975,50.1864,Radius=15000&SortBy=1&latitude=37.0975&longitude=50.1864&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
33.3797,52.3725,Radius=15000&SortBy=1&latitude=33.3797&longitude=52.3725&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.1139,48.9717,Radius=15000&SortBy=1&latitude=35.1139&longitude=48.9717&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
32.9411,50.1211,Radius=15000&SortBy=1&latitude=32.9411&longitude=50.1211&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
37.5511,49.1394,Radius=15000&SortBy=1&latitude=37.5511&longitude=49.1394&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
28.8825,51.2744,Radius=15000&SortBy=1&latitude=28.8825&longitude=51.2744&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
39.3481,45.0711,Radius=15000&SortBy=1&latitude=39.3481&longitude=45.0711&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.5156,45.5792,Radius=15000&SortBy=1&latitude=34.5156&longitude=45.5792&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
35.4633,53.2139,Radius=15000&SortBy=1&latitude=35.4633&longitude=53.2139&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
38.8667,47.0333,Radius=15000&SortBy=1&latitude=38.8667&longitude=47.0333&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
34.3928,49.1839,Radius=15000&SortBy=1&latitude=34.3928&longitude=49.1839&PageSize=1000&PageNumber=0&firstObjectLatEnabled=true&query=&isSpecialList=false
